연도,전세가율,아파트거래현황,아파트분양물량,아파트평균매매가격
2012.01,65.2,1697,0,257542
2012.02,64.2,857,0,251802
2012.03,64,553,0,250823
2012.04,64,365,0,250302
2012.05,63.9,375,0,249844
2012.06,63.9,362,180,246990
2012.07,64.6,333,298,245875
2012.08,64.4,352,0,243938
2012.09,64.8,461,860,243219
2012.1,65.8,837,502,243406
2012.11,68.2,768,299,244073
2012.12,68.7,1023,0,244188
2013.01,68.7,276,0,244406
2013.02,69.2,537,0,244542
2013.03,69.6,621,638,245302
2013.04,69.9,573,0,247052
2013.05,70.4,705,0,247802
2013.06,70.9,960,833,248333
2013.07,71.7,385,0,246984
2013.08,72.5,365,0,246120
2013.09,73,506,0,245417
2013.1,73.1,787,1498,245885
2013.11,73.3,1067,0,246427
2013.12,73.5,1102,0,247281
2014.01,73.6,656,0,261039
2014.02,74.5,935,0,260588
2014.03,75,1656,0,260667
2014.04,75,1547,0,259853
2014.05,74.9,1090,0,259049
2014.06,74.7,765,0,258706
2014.07,74.6,1211,1132,258431
2014.08,74.3,1346,0,258294
2014.09,74.5,1208,0,258412
2014.1,74.5,1080,1142,258422
2014.11,74.5,740,0,258304
2014.12,74.6,903,0,257745
2015.01,74.7,659,159,257892
2015.02,74.8,803,0,257559
2015.03,74.9,943,0,257667
2015.04,74.9,650,0,257647
2015.05,74.9,563,0,257686
2015.06,74.9,645,0,257775
2015.07,75.4,1330,0,257520
2015.08,75.4,932,0,257196
2015.09,75.7,949,0,256275
2015.1,75.7,833,1393,256343
2015.11,75.9,723,0,256510
2015.12,76,811,0,256304
2016.01,76.2,649,0,256029
2016.02,76.4,742,0,255892
2016.03,76.6,605,0,255990
2016.04,76.8,596,0,255814
2016.05,77,591,0,256029
2016.06,77.1,778,0,255941
2016.07,77.3,1190,0,256029
2016.08,77.4,880,0,256275
2016.09,77,738,0,266362
2016.1,77.2,834,185,266414
2016.11,77.3,928,662,266750
2016.12,77.5,1097,0,267086
2017.01,77.8,716,0,267397
2017.02,78,684,0,267612
2017.03,78.1,995,0,267647
2017.04,78,779,0,267845
2017.05,77.7,1074,0,267712
2017.06,77.5,1387,0,267621
2017.07,77.4,1410,650,267764
2017.08,77.4,1373,0,268099
2017.09,77.4,1700,0,268724
2017.1,77.5,1021,0,269259
2017.11,77.7,735,0,269934
2017.12,79,573,0,270855
2018.01,79,664,0,271327
2018.02,78.8,756,0,272726
2018.03,78.7,691,0,273669
2018.04,78.4,583,0,273984
2018.05,77.5,471,0,273613
2018.06,77.4,521,0,273786
2018.07,77.4,554,0,273988
2018.08,77.3,968,0,275238
2018.09,77.1,857,136,276899
2018.1,76.8,1136,0,281327
2018.11,76.5,1137,0,285222
2018.12,76.3,886,0,287810
2019.01,77.3,544,0,307735
2019.02,77.2,442,0,308129
2019.03,77.2,464,1960,308621
2019.04,77.1,613,868,309280
2019.05,76.9,2759,0,311689
2019.06,76.5,722,0,314614
2019.07,76.1,1296,0,316409
2019.08,75.2,1046,0,320432
2019.09,74.3,862,816,324583
2019.1,73.3,2345,0,330606
2019.11,72.4,1203,0,338773
2019.12,71.4,1505,0,346174
2020.01,69.6,1119,0,379396
2020.02,69.4,1174,0,386134
2020.03,68.9,892,0,394104
2020.04,68.7,754,1231,397791
2020.05,68.7,717,760,398022
2020.06,67.8,3835,0,411216
2020.07,67.8,1324,0,415709
2020.08,67.9,691,0,421172
2020.09,67.6,534,1747,433444
2020.1,67.8,591,1116,440310
2020.11,67.5,2762,0,451160
2020.12,68.2,1447,0,467810
2021.01,69.7,1195,0,476101
2021.02,70,534,0,486190
2021.03,69.5,585,0,493698
2021.04,69.4,958,0,500735
2021.05,69,627,0,508340
2021.06,69.2,501,0,514862
2021.07,70.2,421,0,518852
2021.08,69.8,443,0,523993
2021.09,69.6,461,0,527719
2021.1,69.5,468,0,532448
2021.11,69.2,301,0,535513
2021.12,69,289,0,535474
2022.01,69,201,0,533040
2022.02,68.9,231,0,531462
2022.03,68.8,224,0,529399
2022.04,68.7,327,0,528449
2022.05,68.6,293,0,527225
2022.06,68.6,190,0,526157
2022.07,68.5,246,0,523623
2022.08,68.5,187,0,518168
2022.09,68.7,175,0,511100
2022.1,68.6,214,2247,504190
2022.11,69.1,258,936,489537
2022.12,69.3,1008,0,467457
2023.01,69,1478,0,453098
2023.02,68.4,704,0,445231
2023.03,67.6,1015,0,439175
2023.04,67.1,944,0,438201
2023.05,67,489,0,437512
2023.06,67,536,0,437549
2023.07,66.9,418,0,438491
2023.08,67,468,0,440196
2023.09,67,470,0,443036
2023.1,67.4,385,0,445322
2023.11,68.2,460,0,446050
2023.12,68.9,304,0,446247
2024.01,69.4,354,0,444541
2024.02,69.7,328,0,444493
2024.03,69.9,352,0,443784
2024.04,69.9,358,562,442472
2024.05,69.7,381,0,442756
2024.06,69.7,373,0,442437
2024.07,69.5,465,3247,441716
2024.08,69.6,630,0,440658
2024.09,69.6,4336,0,440480
2024.1,69.7,927,0,440369
2024.11,69.6,675,0,440733
2024.12,69.8,448,0,440605
